Id #,File#,Control #,Equip't Description,Equip't type,Manufacturer,Model #,Cal date,Cal due,WW DONE,WW DUE,Serial #,Serial no,Cal interval,Area,Status,Remarks,Cal spec no,D1,Description,Manufacturer1,Model no,Control no,Accuracy,Cal Date1,Cal Due1,Traceability,Function Tested,F1,F2,F3,temp,rh(%),calibrated by,reviewed by,report no,Owner,Date Enrolled
884,0,CN 884,,Digital Thermohygrometer,Omega,iSD-TH,11-Nov-11,11-Nov-11,-,-,MI9330669,FCH4125467,Quarterly,PROCESS TECH ROOM 192.168.1.209,Inactive,PULLOUT,TFP05-001,-,Temperature Humidity Meter,Fluke,iSD-TH,CN 885,N/A,04/28/23,05/02/24,FAST CAL,Please,see,attached,file,-,-,S. Ecito,E. Raon,17,PM,2019-11-07 00:00:00
543,0,CN 543,#02 Digital Thermohygrometer,Digital Thermohygrometer,Omega,iSD-TH,10-Sep-25,10-Dec-25,-,-,1050267, 42180817,Quarterly,TRUNK LINE 2 192.168.1.181,Active,Running,TFP05-056,Humidity Meter,Temperature,Fluke,iSD-TH,CN 854,N/A,06/02/2025,06/02/2026,SONJU,Please,See,Attached,File,-,-,K.Lotino,J. Cruz,59,PM,2012-03-27 00:00:00
544,0,CN 544,#03 Digital Thermohygrometer,Digital Thermohygrometer,Omega,iSD-TH,11-Sep-25,11-Dec-25,-,-,1050287,44841347,Quarterly,TRUNK LINE 1 192.168.1.191,Active,Running,TFP05-014,Humidity Meter,Temperature,Fluke,iSD-TH,CN 885,N/A,12/09/24,12/09/25,SONJU,Please,see,attached,file,-,-,K.Lotino,A.Cahigan,58,PM,2012-03-27 00:00:00
545,0,CN 545,#04 Digital Thermohygrometer,Digital Thermohygrometer,Omega,iSD-TH,10-Oct-25,11-Jan-26,-,-,1050269,42180817,Quarterly,TRUNK LINE 6 192.168.1.190,Active,Running,TFP05-056,Humidity Meter,Temperature,Fluke,iSD-TH,CN 854,N/A,06/02/25,06/02/26,SONJU,Please,See,Attached,File,-,-,K.Lotino,H. Eugenio,58,PM,2012-03-27 00:00:00
546,0,CN 546,#05 Digital Thermohygrometer,Digital Thermohygrometer,Omega,iSD-TH,14-Nov-25,14-Feb-26,-,-,1050270,42180817,Quarterly,LPI ROOM 192.168.1.183,Active,Running,TFP05-056,Humidity Meter,Temperature,Fluke,iSD-TH,CN 854,N/A,06/02/2025,06/02/2026,SONJU,Please,See,Attached,File,-,-,K.Lotino,H. Eugenio,52,PM,2012-03-27 00:00:00
547,0,CN 547,#06 Digital Thermohygrometer,Digital Thermohygrometer,Omega,iSD-TH,10-Mar-25,11-Nov-11,-,-,1050265,42180817,Quarterly,BATCHING AREA,INACTIVE,PULLOUT,TFP05-014,Humidity Meter,Temperature,Fluke,iSD-TH,CN 854,N/A,05/27/24,05/27/25,SONJU,Please,see,attached,file,-,-,K. Lotino,S. Asoy,58,PM,2012-03-27 00:00:00
548,0,CN 548,#07 Digital Thermohygrometer,Digital Thermohygrometer,Omega,iSD-TH,11-Nov-11,11-Nov-11,-,-,1050261,FCH4125467,Quarterly,,Inactive,RELOCATED,TFP05-014,-,Psychrometer,Fluke,iSD-TH,CN 885,N/A,05/02/22,05/02/23,FAST CAL,Please,see,attached,file,22.3øC,50.6%,S. Ecito,I. Garcia,46,PM,2012-03-27 00:00:00
376,0,CN 376,#08 Digital Thermohygrometer,Digital Thermohygrometer,TFA,AZ-HT-02,11-Nov-11,11-Nov-11,-,-,HT02100808-23,10169546,Quarterly,N/A,Inactive,SCRAP,TFP05-014,Psychrometer,Digital,Prostat,AZ-HT-02,CN 033,N/A,09/21/18,09/21/19,EISI,Please,See,Attached,File,22.5øC,51.4%,R. Dela Pe¤a,I. Garcia,39,PM,2011-02-15 00:00:00
549,0,CN 549,#09 Digital Thermohygrometer,Digital Thermohygrometer,Omega,iSD-TH,16-Sep-25,16-Dec-25,-,-,1050272, 42180817,Quarterly,TRUNK LINE 4 192.168.1.182,Active,Running,TFP05-056,Humidity Meter,Temperature,Fluke,iSD-TH,CN 854,N/A,06/02/25,06/02/26,SONJU,Please,See,Attached,File,,,C.Abanico,N.Cruz,58,PM,2012-03-27 00:00:00
550,0,CN 550,#10 Digital Thermohygrometer,Digital Thermohygrometer,Omega,iSD-TH,17-Sep-25,17-Dec-25,-,-,1050266,44841347,Quarterly,IQA TRAY AREA 192.168.1.187,Active,Running,TFP05-056,Humidity Meter,Temperature,Fluke,iSD-TH,CN 885,N/A,12/09/24,12/09/25,SONJU,Please,See,Attached,File,,,M. Soriano,A.Cahigan,57,PM,2012-03-27 00:00:00
551,0,CN 551,#11 Digital Thermohygrometer,Digital Thermohygrometer,Omega,iSD-TH,18-Sep-24,11-Nov-11,-,-,1050268,44841347,Quarterly,PL9 192.168.1.185,Inactive,For pull out,TFP05-014,Humidity Meter,Temperature,Fluke,iSD-TH,CN 885,N/A,12/05/23,12/05/24,SONJU,Please,See,Attached,File,,,C. Abanico,E. Raon,53,PM,2012-03-27 00:00:00
